patent_number,title
US8123A,Self-weighing machine for grain 
US8124A,mcfarlan  
US8125A,Nelson barlow 
US8126A,Improvement in breech-loading fire-arms 
US8127A,photo-uthograplier 
US8128A,peters 
US8129A,Comb cutting machine 
US8130A,Ibsteceb sllmdes 
US8131A,Arrangement of machinery for actuating crank-indicators 
US8132A,Improvement in seed-distributers of seed-planters 
US8133A,Collak 
US8134A,Improvement in processes for treating vegetable fiber 
US8135A,Sash-stopper 
US8136A,Hobse-poweb 
US8137A,Improvement in machines for expressing 
US8138A,Improvement in the gearing of a seed-planter 
US8139A,dickey 
US8140A,Improvement in ornamenting baked earthenwares 
US8141A,Chi chester 
US8142A,Island 
US8143A,dtjtcher 
US8144A,Comb-cttttiua machine 
US8145A,Robert newell 
US8146A,Telstt ofmce 
US8147A,Improvement in crossing the fibers in forming the bats for felt cloth 
US8148A,Island 
US8149A,Railing 
US8150A,Albert hambs 
US8151A,gardner 
US8152A,Cakriage-spriha 
US8153A,Washing-machine 
US8154A,sangster 
US8155A,Improvement in the method of finishing the heads of screws 
US8156A,van andes  
US8157A,Improvement in grain-harvesters 
US8158A,Mahlon gregg 
US8159A,Improvement 
US8160A,Cookihg-stove 
US8161A,Washboard 
US8162A,Ransom cook 
US8163A,Rufus ellis 
US8164A,Island 
US8165A,Machine fob dressing shingles 
US8166A,Kunniitg-gear of locomotives 
US8167A,Ventilatoe 
US8168A,Regulator for the pen-beam in ruling-machines 
US8169A,Improvement in revolving boilers 
US8170A,Improvement in plows 
US8171A,Self-acting gtfabjj-fbog 
US8172A,Knitting-machine 
US8173A,Wheels 
US8174A,Jabez robins 
US8175A,Improvement in printing names of subscribers upon newspapers 
US8176A,Improvement in lubricating compounds 
US8177A,Improvement in cars for transportation of coal 
US8178A,Machinery toe 
US8179A,starr 
US8180A,Improvement in making gutta-percha hollow ware 
US8181A,lewis 
US8182A,Improvement in grain-harvesters 
US8183A,Mashing-tub 
US8184A,Improvement in making hemp from okra 
US8185A,William hinds 
US8186A,Arrangement oe catches in the upper sash operated by moving the 
US8187A,Box and axle fob 
US8188A,Htkstaht 
US8189A,wickersham 
US8190A,Bedstead 
US8191A,Spectacle-frame 
US8192A,Improvement in grain-harvesters 
US8193A,Bread-cutter 
US8194A,Pianoforte 
US8195A,Machiwe fob making hat-bodies 
US8196A,Lathe 
US8197A,Daniel w 
US8198A,Charles atwood 
US8199A,Machinery foe cutting files 
US8200A,Improvement in handles of brushes and brooms 
US8201A,Improved arrangement of the steam-engine 
US8202A,Mode of papering pots 
US8203A,Richard dudgeon 
US8204A,David j 
US8205A,hbinemann 
US8206A,wheeler 
US8207A,Improvement in harvesting-machines 
US8208A,Cork-cuttnst 
US8209A,Improvement in seeding-machines 
US8210A,Improvement in revolving-breech fire-arms 
US8211A,Apparatus for punching- designs in 
US8212A,Improvement in rakes to harvesting-machines 
US8213A,john stearns 
US8214A,James st 
US8215A,Xwashing-machine 
US8216A,botttjm 
US8217A,browning 
US8218A,Improvement in machines for dressing sisal hemp 
US8219A,Churn 
US8220A,Axle-box fob 
US8221A,Carriage-spuing 
US8222A,Improvement in buggy-tops 
US8223A,Lewis lillie 
US8224A,Means for adjusting the effective length of bribge-cottntekbhaces 
US8225A,Improved rake for harvesting-machines 
US8226A,William e 
US8227A,Machine eor splitting leather 
US8228A,Molasses gate ob 
US8229A,Improvement in 
US8230A,V machine foe 
US8231A,Bbick-machxkte 
US8232A,thatcher 
US8233A,Mode of changing reciprocating into rotary motion 
US8234A,Hanging 
US8235A,Improvement in buffing apparatus for daguerreotype-plates 
US8236A,Hanging cakriage-body 
US8237A,Faucet 
US8238A,Sampson 
US8239A,flanders 
US8240A,Clottt-i oi 
US8241A,Eeotjr-bolt 
US8242A,Parlor cooking-stove 
US8243A,Bantz  
US8244A,Oarriage-spbing 
US8245A,hawkins 
US8246A,Machine eou dressing boot-forms 
US8247A,Peters 
US8248A,Improvement in bran-dusters 
US8249A,Dyeing dooiwffats 
US8250A,Job cutler 
US8251A,Oil-cup for journal-boxes 
US8252A,Harvey snow 
US8253A,Island 
US8254A,Matthias p 
US8255A,Cast-iron cab-wheel 
US8256A,Spring-expanding swage foe boiler-tubes 
US8257A,Powder-proof bank-lock 
US8259A,Window-sash 
US8261A,Improvement in machines for grinding flock 
US8262A,Knitting-machine 
US8263A,Stove with portable ovebt 
US8264A,Improvement in seeding apparatus of a seed-planter 
US8265A,Machine fob 
US8266A,Fitting- foe 
US8267A,Machine fob preparing hubs for boxes 
US8268A,Air-tight joint for twyers 
US8269A,Brick-machine 
US8270A,Grain winnower and separator 
US8271A,James dane 
US8272A,Dressing millstones 
US8273A,Water-level indicator for steam-boilers 
US8274A,Improvement in shutters for shop-fronts 
US8275A,Improvement in metallic-alloy paints 
US8276A,Hot-air ftjbbtace 
US8277A,Quadrant hinged grate 
US8278A,Shuttle-motion of looms 
US8279A,Yeas and nays 
US8280A,Improvement in working clay for pottery and other ware 
US8281A,John johnson 
US8282A,Improvement in sewing-machines 
US8283A,Loom foe weaving cut-pile fabkics 
US8284A,Bkick-machiwe 
US8285A,Peters 
US8286A,Spbietg-bolt 
US8287A,Machine fob 
US8288A,Machine fob jointing staves 
US8289A,Spike-machiwe 
US8290A,ltman 
US8291A,Machine foe 
US8292A,Improvement in the manufacture of pigments 
US8293A,Method of forming teeth upon cast-iron grinders 
US8294A,Improvement in sewing-machines 
US8295A,Construction- of roofs 
US8296A,Improvement in sewing-machines 
US8297A,Shoulder-brace combined with abdominal supporter 
US8298A,Ventilating- and excluding dust from railroad-cars 
US8299A,Improvement in the manufacture of brushes 
US8300A,Cooking-stove 
US8301A,Brick-machine 
US8302A,Cooking-range 
US8303A,Improvement in chemical processes for fulling vegetable and other textures 
US8304A,Register for omnibus-drivers 
US8305A,Boot-crimp 
US8306A,Improvement in pulp-screens 
US8307A,Abijah  
US8308A,Improvement 
US8309A,Washing-machine 
US8310A,Cabbage-cutter 
US8311A,Self-acting cheese-press 
US8312A,Improvement in dental hydraulic cups 
US8313A,Improvement in rotary harrows 
US8314A,Padlock 
US8315A,Adjustable tool-haft 
US8316A,Improvement in insulators for lightning-rods 
US8317A,Improvement in breech-loading fire-arms 
US8318A,David tilton 
US8319A,Limekiln 
US8320A,bacon 
US8321A,Improvement in means for obviating difficulties arising from defective insulation in 
US8322A,Ntjt and washer machine 
US8323A,colne 
US8324A,Improvement in self-acting blow-pipe lamps 
US8325A,Machinery for forming joints ojp elliptical springs 
US8326A,Cut-nail machine 
US8328A,Spike machinery 
US8329A,young 
US8330A,Saw-filing machine 
US8331A,And david marsh 
US8332A,Double-oven stove 
US8333A,hobbs 
US8334A,Drying and oxidizing colored goods 
US8335A,Improvement in mercury baths for photographic purposes 
US8336A,Method of raising sunken vessels 
US8337A,Edwin stanley 
US8338A,Construction of violins 
US8339A,Cideb-mill 
US8340A,Improvement in circuit-changers for electro-magnetic telegraph 
US8341A,Improvement in machines for making sod-fences 
US8342A,Hook-heading motion foe spike-machines 
US8343A,Method oe making sails 
US8344A,Gold-amalgamator 
US8345A,Equalizer ob power-regulator 
US8346A,Sword-cane 
US8347A,Washing-machine 
US8348A,Improvement in axles of wheeled cultivati ng-plows 
US8349A,Improvement in type-casting machines 
US8350A,Randolph kreter 
US8351A,Dental forceps 
US8352A,Pianoforte-action 
US8353A,Pianoforte-action 
US8354A,Fastening hooks and eyes to paper cards 
US8355A,Gage used in tubnustg 
US8356A,Improvement in the manufacture of paints 
US8357A,jomes 
US8358A,Bedstead 
US8359A,Railroad-car coupling 
US8360A,Improvement in machines for breaking hemp and flax and reducing the length of the 
US8361A,Gage for 
US8362A,Improvement in apparatus for draining sugar 
US8363A,X s stowe-drilliire machine 
US8364A,Machine for dressing- millstones 
US8365A,Improvement in processes of making bronze-powders 
US8366A,Stove 
US8367A,Bench-vise 
US8368A,Improvement in weaversj temples 
US8369A,Leather-splitting machine 
US8370A,Fastening for last-blocks 
US8371A,Waste-picker 
US8372A,Milton d 
US8373A,Churjst 
US8374A,Improvement in machines for scutching and hackling hemp and flax 
US8375A,Improvement in machines f 
US8376A,Lath-machine 
US8377A,Easy-chair for invalids 
US8378A,sexton 
US8379A,Improvement in machinery for threading wood-screws and feed apparatus therefor 
US8380A,Engine in which compressed air or other gas heated and expanded by admixture therewith of 
US8381A,Shoe-latchet 
US8382A,Churn and butter-worker 
US8383A,Pianoforte 
US8384A,chambers 
US8385A,Improvement in mowing-machines and harvesters 
US8386A,Press 
US8387A,Blind or shutter fastener 
US8388A,Hand-stamp 
US8389A,Piawofokte 
US8390A,Weaver s shuttle 
US8391A,Weighing-cabs 
US8392A,Improvement in self-acting presses 
US8393A,Saw fob sawing and smoothing boards 
US8394A,Instrument for the cure of stammering 
US8395A,Wheel-tires 
US8396A,Maze-lock 
US8397A,Thomas j 
US8398A,Plotting-scale 
US8399A,Improvement in fountain-pens 
US8400A,Machine foe 
US8401A,Mitee-box 
US8402A,Shield for valves 
US8403A,Improvement in the manufacture of clay pipes 
US8404A,Machine for opening and cleaning flocks 
US8405A,Apparatus eob 
US8406A,Improvement in tanning 
US8407A,Improvement in endless-chain propellers 
US8408A,Improvement in devices for sowing in a seed-planter 
US8409A,Escapement fob timepieces 
US8410A,Running-gear 
US8411A,Improvement in revolving boilers 
US8412A,Improvement in revolving-breech pistols 
US8413A,Improvement in apparatus for warming air and water for dwellings 
US8414A,Machine for cutting screws on posts and nails of bedsteads 
US8415A,Portable elevated oven 
US8416A,Machine eob cutting screws on rails of bedsteads 
US8417A,massebano 
US8418A,Improvement in insulators for telegraph-wires 
US8419A,Zenas c 
US8420A,Improvement in imitating marble 
US8421A,Sho web-bath 
US8422A,Machine for cutting corks 
US8423A,Improvement in trimmings 
US8424A,Machine fob 
US8425A,Improvement in grinding-mills 
US8426A,Book-lock 
US8427A,William kenyon 
US8428A,Axle-box foe 
US8429A,Improvement in water-wheels 
US8430A,Oveeshot water-wheel 
US8431A,Padlock 
US8432A,Stove 
US8433A,Chapman warner 
US8434A,Furnace employed in welding shanks to tools 
US8435A,Aik-heating stove 
US8436A,Solar lamp for burning lard or oil 
US8437A,Akgaud oras-btjrneb 
US8438A,Improvement in insulators for telegraphs 
US8439A,Magazine 
US8440A,Improvement in the tops of cans or canisters 
US8441A,Air-heating stove 
US8442A,Ship s winch 
US8443A,Ore-washer 
US8444A,Improvement in dressing cotton-duck 
US8445A,Printing-press 
US8446A,Washing apparatus 
US8447A,ltjttgens 
US8448A,Machinery tor enameling moldings 
US8449A,Mouthpiece for wind instruments 
US8450A,Improvement in sugar vacuum-pans 
US8451A,Of railroad-cars 
US8452A,Improvement in piano-forte strings 
US8453A,Excavating-machine 
US8454A,Improvement in saddles 
US8455A,Cast-iron car-wheel 
US8456A,sloan 
US8457A,Box-opener 
US8458A,Machine for dressing stone 
US8459A,Improvement in the seeding apparatus of a seed-planter 
US8460A,Machine foe 
US8461A,Swinging ckadle 
US8462A,Pobtable wateb-closet 
US8463A,Mybon cory 
US8464A,Means for attaching augers 
US8465A,Machine for pegging boots and shoes 
US8466A,Machine for drying bagasse 
US8467A,Boot-tree 
US8468A,Swinging cradle 
US8469A,Oil-pbess 
US8470A,Fbederick mathushek 
US8471A,Improvement in the method of molding kettles with spouts 
US8472A,Dairy-stove 
US8473A,Machine fok taking yeas and nays 
US8474A,Improvement in cements for grinding-cylinders 
US8475A,Machine for printing in colors 
US8477A,Improvement in the use of steam to make zinc-white 
US8478A,Baby-jumper 
US8479A,Apparatus fob watering cattle 
US8480A,Threshing and separating grain 
US8481A,Improvement in air-engines 
US8482A,Machine fob eosming horse-collars 
US8483A,Improvement in cultivators 
US8484A,Improvement in seed-planters 
US8485A,Machine eoe 
US8486A,John t 
US8487A,ingalls 
US8488A,bobbins 
US8489A,bobbin s 
US8490A,Improvement in distilling acid and naphtha from rosin 
US8491A,Improvement in paint-oil from rosin 
US8492A,Improvement in the manufacture of charcoal 
US8493A,Folding doob op stoves 
US8494A,Improvement in processes for dyeing blue 
US8495A,Improvement in compounds for extinguishing fires 
US8496A,James webster 
US8497A,Plantng-machine 
US8498A,Levi bissbll 
US8499A,Machine for dressing staves 
US8500A,Bating and tanning hides 
US8501A,Cheese 
US8502A,Improvement in the construction of scythe-fasten ings 
US8503A,Hand-plane 
US8504A,Screen oe windowing-machines 
US8505A,Stave-jointing machine 
US8506A,Shuttle-motion of looms 
US8507A,petess 
US8508A,Improvement in car-seats 
US8509A,Improvement in telescopes 
US8510A,Machine 
US8511A,Bending felly 
US8512A,Improvement in card-grinders 
US8513A,Improvement in daguerreotype apparatus 
US8514A,Coupling railroad-cabs 
US8515A,Abdominal supporter 
US8516A,Bedstead 
US8517A,Horse-collar 
US8518A,Grain-kiln 
US8519A,Isaac taylor 
US8520A,Apparatus for sizing and dyeing yarns 
US8521A,Improvement in printing-presses 
US8522A,Machine for 
US8523A,Improvement in stove-grate bars 
US8524A,Improvement in plows 
US8525A,Pbofeller of machineby to be used in cubbents 
US8526A,Railboad-car wheel 
US8527A,Mill for grinding and bolting 
US8528A,Improvement in cannon for throwing chain-shot 
US8529A,Screw peopellee 
US8530A,norbis and d 
US8531A,Railroad switch 
US8532A,Improvement in seed-planters 
US8533A,Inserting porcelain teeth 
US8534A,Stove 
US8535A,Stove-geate 
US8536A,Spring-saddle 
US8537A,Gojstg 
US8538A,Finishing and balancing millstones 
US8539A,Wike fob making pile in woven eabbics 
US8540A,Improvement in fastenings for garments 
US8541A,Cooking-stove 
US8542A,Cooking-stove 
US8543A,Safety apparatus foe 
US8544A,Improvement in plows 
US8545A,Improvement in centrifugal sugar-drainers 
US8546A,Method of operating rudders 
US8547A,Mautjfactube op book-knobs 
US8548A,Dkop-pbess 
US8549A,Cidek-mill 
US8550A,Shingle-machine 
US8551A,Valve fob 
US8552A,Railroad-car 
US8553A,Peters 
US8554A,William bushnbll 
US8555A,Htjbdle-i bn ce 
US8556A,Machine for crimping package-papers for soda powders 
US8557A,Railroad-switch 
US8558A,Apparatus for propelling and steering 
US8559A,goffin 
US8560A,Kailkoad-cae 
US8561A,Steam-carriage for railways 
US8562A,Island 
US8563A,barrows 
US8564A,Mode of papering pins 
US8565A,Machine for working clay 
US8566A,maginnis 
US8567A,Winding watches 
US8568A,Careiage-perche 
US8569A,Kachine for boring holes in posts 
US8570A,Improved foundry apparatus 
US8571A,Runnibtg-gear of locomotives 
US8572A,Apparatus for opening and closing gates 
US8573A,Improved revolving reverberatory furnace 
US8574A,Improvement in potato-diggers 
US8575A,Coetsthtrction of sotjlirdn 
US8576A,Thomas a 
US8577A,Improved carbonic-acid-gas engine 
US8578A,Gas-regulator 
US8579A,John ericsson 
US8580A,Joseph hyde 
US8581A,Improvement in feeding logs in saw-mills 
US8582A,Arrangement of pans for washing ores 
US8583A,Car-seat 
US8584A,Lath-machine 
US8585A,Brighton 
US8586A,Improvement in weavers  temples 
US8587A,ferris 
US8588A,Carriage 
US8589A,Machinery for making kettles and articles of like character from disks of metal 
US8590A,lewis 
US8591A,Stethoscope 
US8592A,Improvement in mineral composition resembling jasper 
US8593A,Rot aung-tumbler lock 
US8594A,Candlestick 
US8595A,Chimney-cap 
US8596A,Churn 
US8597A,Blind and shtjttek opekator 
US8598A,Apparatus for pressing garments 
US8599A,Improvement in processes for smelting copper ores 
US8600A,Tailor s measure 
US8601A,Grain-sieve 
US8602A,William ball 
US8603A,Improvement in chronometric locks 
US8604A,Peters 
US8605A,Perry g 
US8606A,Julius hotohkiss 
US8607A,Candle-making apparatus 
US8608A,Attachment 
US8609A,Lewis king 
US8610A,Harness-saddle 
US8611A,Method oe hanging window-sashes 
US8612A,fergus 
US8613A,Improvement in apparatus for making wrought-iron direct from the ore 
US8614A,Method ojj setting up tenpins 
US8615A,sloan 
US8616A,Nathan stabks 
US8617A,Spinning eope-yakns 
US8618A,William wheeler 
US8619A,Machine for ruling paper 
US8620A,Attaching cutters for cutting screws out rails of bedsteads 
US8621A,Setting mietebal teeth 
US8622A,Ventilating railroad-car 
US8623A,Cabriage-httb 
US8624A,Wendel bollman 
US8625A,Mode of covering cheeses 
US8626A,Lock fob cabeiaae-ctjetaibts 
US8627A,Machine for turning up the edges of sheet-metal disks 
US8628A,Improvement in clover-harvesters 
US8629A,Steam and water gage 
US8630A,Camphene-lamp 
US8631A,Maitueactuke oe railroad-chaiks 
US8632A,George hess 
US8633A,Improvement in daguerreotype pictures 
US8634A,Wool-pickina machine 
US8635A,Improvement in the construction of shovels 
US8636A,Felting cloth 
US8637A,Improvement in breech-loading fire-arms 
US8638A,Eeeding-k 
US8639A,Krocess oe bleachihgr ivoey 
US8640A,Improvement in pen and pencil cases 
US8641A,Gold pen 
US8642A,The nor 
US8643A,Truck for locomotives 
US8644A,Cast-iboh cab-wheel 
US8645A,Vektilating-wibtdow fob railroad-cars 
US8646A,Machine fob scottbiitg knives and forks 
US8647A,Blind and shutter operator 
US8648A,Running-gear of carriages 
US8649A,John johnson 
US8650A,Lantern 
US8651A,Improvement in ornamental painting on glass 
US8652A,Albert eames 
US8653A,Shaker op 
US8654A,Ornamental connection of the parts of iron fences 
US8655A,Bevelihg-plahe 
US8656A,Loom foe 
US8657A,Improvement in machines for making sugar candy 
US8658A,Improvement in apparatus for attaching pieces of metal to each other by casting 
US8659A,Btjckwheat-i aw 
US8660A,Machinery foe 
US8661A,Improvement in apparatus for molding in flasks 
US8662A,Metallic heddles 
US8663A,Turning prisms 
US8664A,Machine fob splitting katan 
US8665A,Pbocess op mashing maize 
US8666A,Planing-machine 
US8667A,Improvement in grain-harvesters 
US8668A,Canal-lock 
US8669A,John waters 
US8670A,blasdell 
US8671A,Chtten 
US8672A,Machine foe 
US8673A,Washing-machine 
US8674A,Hand printing-press 
US8675A,Improvement in spinning machinery 
US8676A,Geindstoite 
US8677A,Samuel g 
US8678A,Bkick-kilw 
US8679A,Egbert white 
US8680A,brown 
US8681A,Improvement in sand-paper holders 
US8682A,Mill-spindle 
US8683A,Rietg-spiitoee 
US8684A,And francis armstrong 
US8685A,Cookiito-bawge 
US8686A,Improvement in water-meters 
US8687A,Nail-plate feedeb 
US8688A,Iron railing 
US8689A,Railroad-switch 
US8690A,nickerson 
US8691A,Shingle-machine 
US8692A,serrell 
US8693A,Heck-yoke 
US8694A,Ira reynolds 
US8695A,Improvement in windlasses 
US8696A,Sheaes 
US8697A,Improvement in file-cutting machines 
US8698A,Machine tor  
US8699A,Burglar-alarm 
US8700A,Improvement in hemp-brakes 
US8701A,Improvement in grass-burners 
US8702A,Feeder foe- plaerietg-jffachihes 
US8703A,Street-sewee 
US8704A,Door-spring 
US8705A,longbottom 
US8706A,Epheaim morris 
US8707A,Axletree-arm 
US8708A,Improvement in concentrated beer material 
US8709A,Island 
US8710A,Of railroad-oaks 
US8711A,Running-gear of carriages 
US8712A,Steering apparatus 
US8713A,Bridge 
US8714A,Shoe-betjsh 
US8715A,Smith 
US8716A,Hose-coupliwgr 
US8717A,Horse-poweb 
US8718A,Improvement in mills for grinding quartz 
US8719A,Thomas a 
US8720A,densmore 
US8721A,Improvement in shovel-plows 
US8722A,Railroad-switch 
US8723A,Ferdinand holm 
US8724A,Improvement in grass-harvesters 
US8725A,Improvement in apparatus fob regulating and measuring the flow of gas 
US8726A,Ephraim morris 
US8727A,swett 
US8728A,Improvement in seed-planters 
US8729A,Improved process for dissolving gold 
US8730A,Edward s 
US8731A,Excavating and dredging machine 
US8732A,Francis armstrong 
US8733A,Abel barker 
US8734A,Edward callow 
US8735A,John oaed 
US8736A,carter 
US8737A,Machinery for making chains 
US8738A,Bran-buster 
US8739A,Bkan-dtrstek 
US8740A,Stop-motion of looms 
US8741A,lindsay 
US8742A,Improvement sn steam-boilers 
US8743A,Improvement in grain and grass harvesters 
US8744A,Feeding apparatus fok gbaiet-threshebs 
US8745A,Baitdlwg pulleys 
US8746A,photo-lith o 
US8747A,Improvement in rotary cultivators 
US8748A,Improvement in weighing-machines 
US8749A,Spoon foe 
US8750A,peters 
US8751A,Cast-iron car 
US8752A,Duplex eccentric valve-motion 
US8753A,Improvement in straw-cutters 
US8754A,Improvement 
US8755A,Vessel for making ink 
US8756A,Samuel t 
US8757A,Sawmill 
US8758A,Air-heating- furnace 
US8759A,Improvement in water-wheels 
US8760A,sickels 
US8761A,Apparatus foe boring hubs fob 
US8762A,Improvement in water-guns for extinguishing fires 
US8763A,Grain winnower and weigher 
US8764A,Gbain-bkiek 
US8765A,Liams 
US8766A,Appabatus for lightening vessels 
US8767A,Stephen albro 
US8768A,Improved arrangement of steam-boilers 
US8769A,Grain-drier 
US8770A,Ommtbus-begister 
US8771A,donnell 
US8772A,Cast-ie 
US8773A,Ketitting-ioom 
US8774A,Improvement in cotton-presses 
US8775A,Plates oe trunk-locks 
US8776A,Improvement in blasting rogks under water 
US8777A,Cast-iron cab-wheel 
US8778A,Machine for 
US8779A,Theodore shaep 
US8780A,speissegger 
US8781A,Benjamin f 
US8782A,sickels 
US8783A,Improved encircling suspender for garments 
US8784A,Schqten 
US8785A,And edwd 
US8786A,Samuel cook 
US8787A,Wateb-gage of 
US8788A,Cokw-sheller 
US8789A,Cawal-lock gate 
US8790A,Seed-planter 
US8791A,Improvement in hay-rakes 
US8792A,Melodeon 
US8793A,wiokeesham 
US8794A,Improvement in plows 
US8795A,Of dooe-kitobs 
US8796A,Double-plane iron 
US8797A,Benjamin cbawfobd 
US8798A,Improvement in carpets 
US8799A,Coerstbttctiolt of g-kate-baks 
US8800A,Sofa-bedstead 
US8801A,Joint around glass tubes for philosophical apparatus 
US8802A,Improvement in shovel-plows 
US8803A,Improvement in cotton-gins 
US8804A,lennig 
US8805A,Btjenee foe aegawd lamps 
US8806A,Improvement in machines for cutting screws on rails and posts of bedsteads 
US8807A,Connecting washers with spindles in spinning machinery 
US8808A,Planiwg-machiete 
US8809A,Cupping and breast glasses 
US8810A,Patteknxjard for jacqttakd looms 
US8811A,Hot-air kegistek 
US8812A,Thomas walbbe 
US8813A,Instrument for inhaling powders 
US8814A,Hinge fob 
US8815A,Shall 
US8816A,Omnibus-step 
US8817A,William h 
US8818A,Machine fob stamping ores 
US8819A,of greentown 
US8820A,Improvement in friction-primers for cannon 
US8821A,Machiheiiy toe 
US8822A,Thomas h 
US8823A,Flaming-machine 
US8824A,Swutgletree 
US8825A,Iprovement in machines for making cordage 
US8826A,Nathan kinman 
US8827A,Smut-machine 
US8828A,j john mccollum 
US8829A,Artificial teeth 
US8830A,parrish 
US8831A,Machine fob joiettlwg shingles 
US8832A,Air-heating stove 
US8833A,James youxg- 
US8834A,Sausage-stuffer 
US8835A,Improvement in mills for grinding ores 
US8836A,Excavating-hla chine 
US8837A,butler 
US8838A,Machinery for shaving the heads of screw-blanks 
US8839A,Eazoe-ste 
US8840A,James hamilton 
US8841A,Sice-httxieb 
US8842A,Improvement in shovel-plows 
US8843A,Etieg 
US8844A,Improvement in gang-plows 
US8845A,Bedstead-fastening 
US8846A,Bat-trap 
US8847A,Apparatus foe boeing artesian wells 
US8848A,Smoothing-iron 
US8849A,Candle-wick 
US8850A,Improvement in cultivators 
US8851A,Albert betteley 
US8852A,Sawmill 
US8853A,Julio t 
US8854A,Stone-cutting machine 
US8855A,cooper 
US8856A,Horse-collar 
US8857A,Boses for knobs to doors 
US8858A,Coat-fobm 
US8859A,Moth-tkap 
US8860A,David kait 
US8861A,of cheshire 
US8862A,Improved harpoon 
US8863A,Mechanism for actuating ast adjustable eccentric 
US8864A,John thompson 
US8865A,Boot-jack 
US8866A,Improvement in seed-planters 
US8867A,John valentine 
US8868A,Drop-punch 
US8869A,Hiuge 
US8870A,Ransom crosby  
US8871A,Improvement in the method of welding steel 
US8872A,photo-litho 
US8873A,hamilton 
US8874A,Improvement in looms for weaving figured fabrics 
US8875A,Reeling-machine 
US8876A,Improvement in sewing-machines 
US8877A,Improvement in seed-planters 
US8878A,Instrument for opening boxes 
US8879A,Improvement in seed-planters 
US8880A,Improved oblique bucket paddle-wheel 
US8881A,Peed apparatus of plawihg-machiwes 
US8882A,Submarine auger 
US8883A,Improvement in mattresses 
US8884A,Wiwktoweb 
US8885A,Sash stoppek 
US8886A,Protecting wheels and axles of cars by incasing them 
US8887A,Key of pianofortes 
US8888A,Capping of screws 
US8889A,Machine for drawing spikes 
US8890A,Appaeattrs fob 
US8891A,Improvement in refrigerators 
US8892A,Brick-machine 
US8893A,Rotary 
US8894A,Balance-gate 
US8895A,Tailor s measure 
US8896A,Hame-ttjg 
US8897A,Improved reflecting spirit-level and square 
US8898A,"Improved device for casting circle-plates, roses "
US8899A,Railroad-car brake 
US8900A,Valve for steam-engines 
US8901A,oust blair 
US8902A,Shuttle for weavina haibcloth 
US8903A,Holdback for sleds 
US8904A,Smut-machine 
US8905A,Relief steering apparatus 
US8906A,Bailed ad-switch 
US8907A,Improvement in gins for long staples of cotton 
US8908A,kelsey 
US8909A,Improvement in machines for pressing tobacco 
US8910A,Andrew lamb and william alltoft summers 
US8911A,Bbttsh 
US8912A,Thomas x sloan 
US8913A,Sele loading and dumping car 
US8914A,Steering apparatus 
US8915A,Box for journals 
US8916A,Kock-deill 
US8917A,Leather-gage 
US8918A,Potato-washer 
US8919A,Levis h 
US8920A,Improvement in electro-magnetic alarm-bells 
US8921A,Washing-machine 
US8922A,Adjustable wrench 
US8923A,Differential safety-valve 
US8924A,Eaikroad-cab brake 
US8925A,And william fetter 
US8926A,James l 
US8927A,Chuknxrg-machine 
US8928A,Christen schneider 
US8929A,Machinery for grinbotg or polishing saw-blades 
US8930A,Improvement in lightning-rods 
US8931A,Window-blind machinery 
US8932A,Cocks 
US8933A,Samuel baeker 
US8934A,betts 
US8935A,Improvement in railroad-car seats 
US8936A,Meat-cutter 
US8937A,Jacob r 
US8938A,Of brushes 
US8939A,Cooking-boiler 
US8940A,Improvement in apparatus for soldering in a vacuum 
US8941A,Block eob printing oil-cloths 
US8942A,Platform-scale 
US8943A,Office 
US8944A,Table 
US8945A,Gold-beating machinery 
US8946A,wicks and j 
US8947A,Implement for cutting btttter from fibkins 
US8948A,Improvement in carding by which variegated slivers are produced 
US8949A,Stove 
US8950A,platt 
US8951A,tibbets 
US8952A,Improvement in iron safes 
US8953A,Saw-set 
US8954A,Stkainiitci-saws ikt sawmills 
US8955A,Steam-boiler 
US8956A,Loading guns 
US8957A,maynard 
US8958A,Cotton-batting 
US8959A,Chtjb 
US8960A,of baltimore 
US8961A,Improvement in hay-rakes 
US8962A,Improvement in cements 
US8963A,Fob making- fuses 
US8964A,Henry blakely 
US8965A,carpenter 
US8966A,Mobtising-machine 
US8967A,Stone-dressing machine 
US8968A,falkenatj 
US8969A,Improvement in worm-tubs of stills 
US8970A,Flour-bolt 
US8971A,Improvement in lubricating-oils 
US8972A,Hominy-machine 
US8973A,Bailroad-cae 
US8974A,I smolinski 
US8975A,Cast-iron car-wheel 
US8976A,Machine for jointing staves 
US8977A,Improvement in fountain pen-holders 
US8978A,Cokrw-shelleb 
US8979A,Railroad-cab wheel 
US8980A,Improvement in copying manuscript 
US8981A,mount 
US8982A,Improvement in revolving-breech fire-arms 
US8983A,Smut-machibte 
US8984A,Power-loom 
US8985A,Cast-iboh car-wheel 
US8987A,Fire-escape laddee 
US8988A,The graphic co 
US8989A,Vertical trip-hammer 
US8990A,Machine fob 
US8991A,taylor 
US8992A,John eider 
US8993A,Improvement in the construction of retorts for chemical furnaces 
US8994A,Manufacture oe plate and window glass 
US8995A,Improvement in processes for preparing oakum 
US8996A,Cow-catcher 
US8997A,Cop-spinning- frame 
US8998A,Smoke and spark deelectok 
US8999A,krupp 
US9000A,Process for making axes 
US9001A,Keflector-lamp 
US9003A,Improvement in wheel-cultivators 
US9004A,Improvement in seed-planters 
US9005A,Improvement in harvesters 
US9006A,Improvement in seed-planters 
